Value,Unit
1.33,Mbits/sec
0.98,Mbits/sec
0.48,Mbits/sec
0.56,Mbits/sec
1.06,Mbits/sec
0.62,Mbits/sec
0.83,Mbits/sec
1.1,Mbits/sec
0.75,Mbits/sec
0.85,Mbits/sec
0.69,Mbits/sec
0.6,Mbits/sec
0.42,Mbits/sec
0.58,Mbits/sec
0.85,Mbits/sec
0.43,Mbits/sec
0.39,Mbits/sec
0.5,Mbits/sec
0.46,Mbits/sec
0.73,Mbits/sec
0,Mbits/sec
0.64,Mbits/sec
0,Mbits/sec
0.34,Mbits/sec
0.46,Mbits/sec
0.18,Mbits/sec
0.39,Mbits/sec
0.1,Mbits/sec
0.4,Mbits/sec
0.98,Mbits/sec
0.11,Mbits/sec
0.14,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0.82,Mbits/sec
3.52,Mbits/sec
3.03,Mbits/sec
3.87,Mbits/sec
1.87,Mbits/sec
1.9,Mbits/sec
2.61,Mbits/sec
3.46,Mbits/sec
6.83,Mbits/sec
5.63,Mbits/sec
4.43,Mbits/sec
5.51,Mbits/sec
4.26,Mbits/sec
0.36,Mbits/sec
0.69,Mbits/sec
1.52,Mbits/sec
1.37,Mbits/sec
2.45,Mbits/sec
2.67,Mbits/sec
1.49,Mbits/sec
1.55,Mbits/sec
1.08,Mbits/sec
3.58,Mbits/sec
2.71,Mbits/sec
3.03,Mbits/sec
3.21,Mbits/sec
1.55,Mbits/sec
0.15,Mbits/sec
0.53,Mbits/sec
1.58,Mbits/sec
2.17,Mbits/sec
0.28,Mbits/sec
1.76,Mbits/sec
1.57,Mbits/sec
0.61,Mbits/sec
2.21,Mbits/sec
1.94,Mbits/sec
1.44,Mbits/sec
2.19,Mbits/sec
0.5,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
0,Mbits/sec
1.7,Mbits/sec
3.01,Mbits/sec
3.26,Mbits/sec
2.52,Mbits/sec
1.93,Mbits/sec
1.75,Mbits/sec
0,Mbits/sec
1.86,Mbits/sec
0.6,Mbits/sec
1.11,Mbits/sec
